state,district,date,income_mean,income_median
Johor,Batu Pahat,2019-01-01,7392,6504
Johor,Batu Pahat,2022-01-01,7419,6347
Johor,Johor Bahru,2019-01-01,9315,7342
Johor,Johor Bahru,2022-01-01,9869,8232
Johor,Kluang,2019-01-01,5953,4933
Johor,Kluang,2022-01-01,6461,5204
Johor,Kota Tinggi,2019-01-01,6982,5475
Johor,Kota Tinggi,2022-01-01,7529,6227
Johor,Kulai,2019-01-01,8602,7536
Johor,Kulai,2022-01-01,9177,7460
Johor,Ledang,2019-01-01,6659,5561
Johor,Ledang,2022-01-01,7093,5622
Johor,Mersing,2019-01-01,4937,3896
Johor,Mersing,2022-01-01,5426,4445
Johor,Muar,2019-01-01,7540,5963
Johor,Muar,2022-01-01,7572,5724
Johor,Pontian,2019-01-01,6776,5585
Johor,Pontian,2022-01-01,6913,5616
Johor,Segamat,2019-01-01,6431,5595
Johor,Segamat,2022-01-01,6578,5318
Kedah,Baling,2019-01-01,4313,3583
Kedah,Baling,2022-01-01,4263,3400
Kedah,Bandar Baharu,2019-01-01,4959,4022
Kedah,Bandar Baharu,2022-01-01,4565,3922
Kedah,Kota Setar,2019-01-01,5773,4532
Kedah,Kota Setar,2022-01-01,5959,4751
Kedah,Kuala Muda,2019-01-01,5656,4247
Kedah,Kuala Muda,2022-01-01,5624,4200
Kedah,Kubang Pasu,2019-01-01,6291,4814
Kedah,Kubang Pasu,2022-01-01,6221,5201
Kedah,Kulim,2019-01-01,5476,4489
Kedah,Kulim,2022-01-01,5636,4498
Kedah,Langkawi,2019-01-01,6737,5905
Kedah,Langkawi,2022-01-01,6087,5250
Kedah,Padang Terap,2019-01-01,4781,3722
Kedah,Padang Terap,2022-01-01,4858,3902
Kedah,Pendang,2019-01-01,4680,3765
Kedah,Pendang,2022-01-01,4986,3801
Kedah,Pokok Sena,2019-01-01,5046,4246
Kedah,Pokok Sena,2022-01-01,5494,4668
Kedah,Sik,2019-01-01,4960,4094
Kedah,Sik,2022-01-01,5053,3703
Kedah,Yan,2019-01-01,4397,3502
Kedah,Yan,2022-01-01,4637,4080
Kelantan,Bachok,2019-01-01,4728,3621
Kelantan,Bachok,2022-01-01,4811,3625
Kelantan,Gua Musang,2019-01-01,4009,2942
Kelantan,Gua Musang,2022-01-01,4473,3342
Kelantan,Jeli,2019-01-01,3872,2943
Kelantan,Jeli,2022-01-01,3735,2906
Kelantan,Kecil Lojing,2019-01-01,3002,3138
Kelantan,Kecil Lojing,2022-01-01,3153,2630
Kelantan,Kota Bharu,2019-01-01,5577,4171
Kelantan,Kota Bharu,2022-01-01,5693,4330
Kelantan,Kuala Krai,2019-01-01,3979,2896
Kelantan,Kuala Krai,2022-01-01,3798,2763
Kelantan,Machang,2019-01-01,4841,3708
Kelantan,Machang,2022-01-01,4987,3429
